point_id,start,end,score_before,score_after,serving_team,receiving_team,phase_summary,outcome,confidence,notes
W6_P001,00:35:28,00:35:49,,,,,Serve-anchored point from first clean serve inside the 35:00-50:00 window.,,high,Serve visible around 35:28.
W6_P002,00:36:44,00:37:12,,,,,Corrected point ending before the next visible serve.,,medium,Serve lane partly occluded; previous clip was too long and included W6_P003 serve.
W6_P003,00:37:13,00:37:24,,,,,Short point beginning at the serve the user spotted inside the old P002 clip.,,high,Serve visible around 37:13-37:14.
W6_P004,00:38:53,00:39:04,,,,,Short clean serve point.,,high,Next serve sequence begins after this point.
W6_P005A,00:39:14,00:39:36,,,,,Serve-to-next-serve point candidate.,,high,Serve verified at 39:14; end is one second before the next serve.
W6_P005B,00:39:37,00:39:52,,,,,Serve-to-next-serve point candidate.,,high,Second serve in the former W6_P005 clip verified at 39:37.
W6_P005C,00:39:53,00:39:57,,,,,Short serve-anchored point candidate.,,high,Third serve in the former W6_P005 clip verified at 39:53; short rallies are valid points.
W6_P006,00:40:32,00:40:49,,,,,Short serve point.,,medium,Serve/active start visible around 40:31-40:33.
W6_P007,00:40:54,00:41:14,,,,,Serve point followed by reset before next serve.,,medium,Boundary approximate.
W6_P008,00:41:20,00:41:29,,,,,Short serve point.,,medium,Serve sequence visible around 41:20.
W6_P009,00:41:32,00:41:39,,,,,Short point before next visible serve.,,medium-low,Tight turnaround; verify if using for final clips.
W6_P010,00:41:45,00:42:04,,,,,Serve point ending in visible reset.,,high,Clean short point.
W6_P011,00:42:06,00:42:13,,,,,Short serve point.,,medium-low,Serve/contact is visible but quick; verify at 0.5s if needed.
W6_P012,00:42:16,00:42:24,,,,,Short point from next serve/setup.,,medium-low,Boundary approximate.
W6_P013,00:42:30,00:42:54,,,,,Active point through 42:44 with reset by 42:49-42:54.,,medium,Serve/start approximate from sheet sequence.
W6_P014,00:42:58,00:43:14,,,,,Serve/active point with reset after rally.,,medium,Boundary approximate.
W6_P015,00:43:20,00:43:44,,,,,Serve point active through 43:35+.,,high,Clean serve anchor around 43:20-43:22.
W6_P016,00:44:15,00:44:34,,,,,Serve point ending/resetting around 44:29-44:34.,,high,Clean serve anchor.
W6_P017,00:44:40,00:44:59,,,,,Serve/active start near 44:39-44:40.,,medium,Boundary approximate.
W6_P018,00:45:26,00:45:34,,,,,Short clean serve point.,,high,Serve visible around 45:26-45:27.
W6_P019,00:45:37,00:46:04,,,,,Serve point before the next serve around 46:09.,,medium,Boundary approximate.
W6_P020,00:46:09,00:46:39,,,,,Serve point continuing through reset around 46:35-46:39.,,medium,Serve/active start around 46:09-46:10.
W6_P021,00:46:47,00:47:01,,,,,Serve-to-next-serve point candidate.,,high,Serve verified at 46:47; end is one second before the next serve.
W6_P022,00:47:02,00:47:14,,,,,Serve-to-next-serve point candidate.,,high,Serve verified around 47:02-47:03; end is one second before the next serve.
W6_P023,00:47:15,00:47:25,,,,,Serve-to-next-serve point candidate.,,high,Serve verified at 47:15; end is one second before the next serve.
W6_P024,00:47:26,00:48:02,,,,,Serve-to-next-serve point candidate.,,high,Serve verified around 47:26-47:27; long candidate requires rally-end refinement.
W6_P025,00:48:03,00:48:16,,,,,Serve-anchored point candidate ending at visible reset.,,high,Serve verified at 48:03.
W6_P026,00:48:37,00:48:59,,,,,Serve-to-next-serve point candidate.,,high,Serve verified around 48:37-48:38; end is one second before the next serve.
W6_P027,00:49:00,00:49:09,,,,,Serve-anchored point candidate ending at visible reset.,,high,Second serve in the former W6_P022 clip verified at 49:00.
W6_P028,00:49:32,00:49:54,,,,,Serve-to-next-serve point candidate.,,high,Serve verified at 49:32; end is one second before the next serve.
W6_P029,00:49:55,00:50:00,,,,,Partial serve-anchored point candidate.,,partial,Second serve in the former W6_P023 clip verified at 49:55; point continues beyond the review window.
